Day	Time	Weather	LocationRank	Side of Town	Incident Rank	Nature	EMSSTAT
2024-00007573	5	23	1	191	NE	1	Traffic Stop	0
2024-00007575	5	23	1	191	W	1	Traffic Stop	0
2024-00007576	5	23	1	66	N	6	Suspicious	0
2024-00007577	5	23	3	66	N	38	Noise Complaint	0
2024-00007578	5	23	0	191	S	1	Traffic Stop	0
2024-00007579	5	23	3	66	N	13	Check Area	0
2024-00007580	5	23	1	191	SE	32	Motorist Assist	0
2024-00007581	5	23	1	191	SE	13	Check Area	0
2024-00007836	7	0	3	66	W	13	Check Area	0
2024-00001926	7	0	3	34	E	32	Convulsion/Seizure	1
2024-00002430	7	0	3	34	E	32	Convulsion/Seizure	1
2024-00007837	7	0	0	66	N	4	Disturbance/Domestic	0
2024-00001927	7	0	3	34	S	19	Unconscious/Fainting	1
2024-00002431	7	0	3	34	S	19	Unconscious/Fainting	1
2024-00007838	7	0	51	191	W	14	Follow Up	0
2024-00002436	7	0	3	5	N	2	Transfer/Interfacility	1
2024-00007839	7	0	3	191	NW	6	Suspicious	0
2024-00007840	7	0	3	15	S	27	Fraud	0
2024-00001928	7	0	3	34	NW	27	Assault EMS Needed	1
2024-00002432	7	0	3	34	NW	27	Assault EMS Needed	1
2024-00007841	7	0	3	34	NW	4	Disturbance/Domestic	1
2024-00007842	7	0	0	66	N	4	Disturbance/Domestic	0
2024-00007843	7	1	3	191	N	73	Drug Violation	0
2024-00007844	7	1	0	191	NE	42	Vandalism	0
2024-00007845	7	1	1	21	NE	38	Noise Complaint	0
2024-00002437	7	1	3	2	NW	2	Transfer/Interfacility	1
2024-00001929	7	1	0	21	W	27	Assault EMS Needed	1
2024-00002434	7	1	0	21	W	27	Assault EMS Needed	1
2024-00002435	7	1	0	21	W	27	Assault EMS Needed	1
2024-00007846	7	1	0	21	W	73	Fight	1
2024-00007847	7	1	3	191	SW	38	Mutual Aid	0
2024-00007848	7	1	3	11	NE	6	Suspicious	0
2024-00001930	7	1	2	191	NE	23	Public Assist	0
2024-00007849	7	2	53	191	SE	4	Disturbance/Domestic	0
2024-00001931	7	2	3	21	N	27	MVA With Injuries	1
2024-00002438	7	2	3	21	N	27	MVA With Injuries	1
2024-00007850	7	2	3	21	N	27	MVA With Injuries	1
2024-00007851	7	2	0	191	E	48	Drunk Driver	0
2024-00007852	7	2	55	191	N	38	Noise Complaint	0
2024-00007855	7	2	71	191	W	13	Check Area	0
2024-00001933	7	2	3	21	N	27	Assault EMS Needed	1
2024-00002440	7	2	3	21	N	27	Assault EMS Needed	1
2024-00007853	7	2	3	21	N	4	Disturbance/Domestic	1
2024-00007854	7	2	55	191	NW	7	Alarm	0
2024-00001932	7	2	55	66	N	11	Breathing Problems	1
2024-00002439	7	2	55	66	N	11	Breathing Problems	1
2024-00007867	7	2	53	3	SE	45	Escort/Transport	0
2024-00007856	7	2	55	191	N	4	Disturbance/Domestic	0
2024-00007857	7	2	55	66	NW	4	Disturbance/Domestic	0
2024-00007858	7	3	1	191	S	6	Suspicious	0
2024-00007860	7	3	0	4	NE	6	Suspicious	0
2024-00007859	7	3	3	21	N	4	Disturbance/Domestic	0
2024-00001934	7	3	51	34	E	64	Traumatic Injury	1
2024-00002441	7	3	51	34	E	64	Traumatic Injury	1
2024-00007861	7	3	51	34	E	32	Hit and Run	1
2024-00001935	7	3	1	21	W	51	Heart Problems/AICD	1
2024-00002442	7	3	1	21	W	51	Heart Problems/AICD	1
2024-00002443	7	3	51	3	SE	2	Transfer/Interfacility	1
2024-00007862	7	3	3	191	N	73	Stake Out	0
2024-00007864	7	3	51	15	S	5	Contact a Subject	0
2024-00007863	7	4	51	34	N	8	Welfare Check	0
2024-00002446	7	4	51	1	N	2	Transfer/Interfacility	1
2024-00001936	7	4	51	15	NW	10	Falls	1
2024-00002444	7	4	51	15	NW	10	Falls	1
2024-00007866	7	4	51	66	SW	73	Barking Dog	0
2024-00002445	7	4	51	5	N	2	Transfer/Interfacility	1
2024-00007865	7	4	51	66	SW	7	Alarm	0
2024-00007868	7	5	0	191	E	7	Alarm	0
2024-00002447	7	5	51	1	N	2	Transfer/Interfacility	1
2024-00007869	7	5	61	15	S	19	911 Call Nature Unknown	0
2024-00007870	7	5	51	66	NW	51	Assault	0
2024-00001937	7	5	63	66	E	11	Breathing Problems	1
2024-00002448	7	5	63	66	E	11	Breathing Problems	1
2024-00007871	7	6	3	191	NE	51	Pick Up Partner	0
2024-00007872	7	6	0	191	E	7	Alarm	0
2024-00002449	7	6	61	191	SW	3	Sick Person	1
2024-00002452	7	6	61	2	NW	2	Transfer/Interfacility	1
2024-00001938	7	6	61	66	SE	3	Sick Person	1
2024-00002450	7	6	61	66	SE	3	Sick Person	1
2024-00002451	7	6	61	11	N	10	Falls	1
2024-00007873	7	6	61	191	N	8	Welfare Check	0
2024-00007875	7	7	0	191	NE	7	Alarm	0
2024-00007876	7	7	0	191	NE	7	Alarm	0
2024-00007874	7	7	55	15	SE	82	Car Jacking	0
2024-00007877	7	7	55	34	N	9	Larceny	0
2024-00007879	7	7	55	191	W	7	Alarm	0
2024-00007878	7	7	55	191	E	7	Alarm	0
2024-00007880	7	7	55	191	NW	1	Traffic Stop	0
2024-00007881	7	7	0	9	E	1	Traffic Stop	0
2024-00001939	7	7	1	6	SE	19	Cardiac Respritory Arrest	1
2024-00002453	7	7	1	6	SE	19	Cardiac Respritory Arrest	1
2024-00001940	7	7	3	66	N	3	Sick Person	1
2024-00002454	7	7	3	66	N	3	Sick Person	1
2024-00007882	7	8	51	34	N	11	Trespassing	0
2024-00007883	7	8	51	191	SE	7	Alarm	0
2024-00007884	7	8	1	191	W	1	Traffic Stop	0
2024-00001941	7	8	0	191	E	23	Public Assist	0
2024-00007885	7	8	63	191	E	5	Contact a Subject	0
2024-00007886	7	8	0	66	NE	1	Traffic Stop	0
2024-00007887	7	8	0	9	E	1	Traffic Stop	0
2024-00007888	7	8	0	9	E	1	Traffic Stop	0
2024-00007889	7	8	3	191	N	1	Traffic Stop	0
2024-00007890	7	8	0	9	E	1	Traffic Stop	0
2024-00001942	7	8	0	4	NE	17	Hemorrhage/Lacerations	1
2024-00002455	7	8	0	4	NE	3	Sick Person	1
2024-00007892	7	8	0	4	NE	8	Welfare Check	1
2024-00007891	7	8	0	66	NE	1	Traffic Stop	0
2024-00001943	7	8	1	6	SE	19	Unconscious/Fainting	1
2024-00002456	7	8	1	6	SE	19	Unconscious/Fainting	1
2024-00007894	7	8	51	191	SE	7	Alarm	0
2024-00007893	7	8	0	9	E	1	Traffic Stop	0
2024-00007895	7	8	0	9	E	1	Traffic Stop	0
2024-00007897	7	8	51	191	SE	32	Hit and Run	0
2024-00007896	7	8	51	66	NW	1	Traffic Stop	0
2024-00007898	7	8	0	9	E	1	Traffic Stop	0
2024-00007899	7	9	0	191	E	1	Traffic Stop	0
2024-00007900	7	9	3	66	NW	1	Traffic Stop	0
2024-00007902	7	9	0	66	N	4	Disturbance/Domestic	0
2024-00007903	7	9	3	191	E	7	Alarm	0
2024-00007901	7	9	0	9	E	1	Traffic Stop	0
2024-00007904	7	9	3	34	S	7	Alarm	0
2024-00007905	7	9	3	66	NW	1	Traffic Stop	0
2024-00007906	7	9	3	191	NW	1	Traffic Stop	0
2024-00007907	7	9	3	191	NW	1	Traffic Stop	0
2024-00007909	7	9	3	15	SE	4	Disturbance/Domestic	0
2024-00007908	7	9	3	191	NW	1	Traffic Stop	0
2024-00007910	7	9	3	191	NE	17	Harassment / Threats Report	0
2024-00001944	7	9	3	66	E	17	Hemorrhage/Lacerations	1
2024-00002457	7	9	3	66	E	17	Hemorrhage/Lacerations	1
2024-00002458	7	9	3	3	SE	2	Transfer/Interfacility	1
2024-00007911	7	9	0	9	E	1	Traffic Stop	0
2024-00007912	7	9	0	191	NE	1	Traffic Stop	0
2024-00007913	7	9	3	191	NW	4	Disturbance/Domestic	0
2024-00007914	7	9	3	191	SW	7	Alarm	0
2024-00002462	7	9	3	2	NW	2	Transfer/Interfacility	1
2024-00001945	7	9	3	66	S	27	Medical Call Pd Requested	1
2024-00002459	7	9	3	66	S	27	Medical Call Pd Requested	1
2024-00001946	7	9	3	34	NE	27	Assault EMS Needed	1
2024-00002460	7	9	3	34	NE	27	Assault EMS Needed	1
2024-00007915	7	9	3	34	NE	4	Disturbance/Domestic	1
2024-00007916	7	9	3	191	SE	4	Disturbance/Domestic	0
2024-00001947	7	10	0	66	SE	11	Breathing Problems	1
2024-00002461	7	10	0	66	SE	11	Breathing Problems	1
2024-00007917	7	10	3	191	SE	4	Disturbance/Domestic	0
2024-00001948	7	10	0	66	NE	19	Unconscious/Fainting	1
2024-00002463	7	10	0	66	NE	64	Traumatic Injury	1
2024-00007918	7	10	1	191	NW	42	Animal Trapped	0
2024-00007919	7	10	3	191	SE	6	Suspicious	0
2024-00007920	7	10	0	191	NE	51	Open Door/Premises Check	0
2024-00007923	7	10	3	191	SE	16	Parking Problem	0
2024-00007921	7	10	3	191	SW	14	Follow Up	0
2024-00007922	7	10	0	191	W	17	Harassment / Threats Report	0
2024-00007925	7	10	61	191	S	51	Civil Standby	0
2024-00002464	7	10	3	1	N	2	Transfer/Interfacility	1
2024-00007932	7	10	3	1	N	45	Escort/Transport	1
2024-00007924	7	10	3	66	NW	1	Traffic Stop	0
2024-00007926	7	10	3	191	N	38	Mutual Aid	0
2024-00007929	7	10	3	66	E	7	Alarm	0
2024-00007928	7	10	3	191	S	7	Alarm	0
2024-00007927	7	10	3	66	SE	4	Disturbance/Domestic	0
2024-00007933	7	11	3	34	W	17	Harassment / Threats Report	0
2024-00007930	7	11	3	191	SW	1	Traffic Stop	0
2024-00007931	7	11	3	191	NE	13	Check Area	0
2024-00007934	7	11	3	191	NW	15	MVA Non Injury	0
2024-00001949	7	11	3	66	S	19	Unconscious/Fainting	1
2024-00002465	7	11	3	66	S	19	Unconscious/Fainting	1
2024-00007939	7	11	3	191	W	42	Animal Trapped	0
2024-00007935	7	11	3	191	SW	1	Traffic Stop	0
2024-00007936	7	11	3	191	N	11	Trespassing	0
2024-00007937	7	11	0	191	N	15	MVA Non Injury	0
2024-00001950	7	11	3	66	SW	3	Sick Person	1
2024-00002466	7	11	3	66	SW	3	Sick Person	1
2024-00007938	7	11	3	191	NW	1	Traffic Stop	0
2024-00007941	7	12	3	191	SE	8	Welfare Check	0
2024-00007951	7	12	3	191	W	64	Animal Complaint	0
2024-00007945	7	12	0	191	NE	51	Animal Vicious	0
2024-00007940	7	12	3	191	N	64	Alarm Holdup/Panic	0
2024-00007942	7	12	2	191	SW	9	Larceny	0
2024-00007944	7	12	0	191	W	7	Alarm	0
2024-00007943	7	12	2	191	SE	14	Follow Up	0
2024-00001951	7	12	3	34	NW	19	Cardiac Respritory Arrest	1
2024-00002467	7	12	3	34	NW	19	Cardiac Respritory Arrest	1
2024-00007946	7	12	3	34	NW	51	Body Reported	1
2024-00001952	7	12	3	66	N	38	Stroke	1
2024-00002468	7	12	3	66	N	38	Stroke	1
2024-00007948	7	12	2	191	SE	13	Check Area	0
2024-00007947	7	12	2	191	S	1	Traffic Stop	0
2024-00002469	7	12	0	66	NE	3	Sick Person	1
2024-00001953	7	12	2	191	S	23	Public Assist	0
2024-00007949	7	12	0	191	NE	1	Traffic Stop	0
2024-00007950	7	12	2	191	SE	4	Disturbance/Domestic	0
2024-00007952	7	12	1	191	NE	32	Hit and Run	0
2024-00001954	7	12	3	66	W	3	Sick Person	1
2024-00002470	7	12	3	66	W	3	Sick Person	1
2024-00007953	7	13	0	191	E	15	MVA Non Injury	0
2024-00007954	7	13	2	191	NW	64	Alarm Holdup/Panic	0
2024-00007955	7	13	0	191	W	4	Disturbance/Domestic	0
2024-00007956	7	13	1	1	N	45	Escort/Transport	0
2024-00001955	7	13	1	34	SE	38	Stroke	1
2024-00002472	7	13	1	34	SE	38	Stroke	1
2024-00002471	7	13	1	191	N	82	Unknown Problem/Man Down	1
2024-00007957	7	13	3	191	NW	13	Check Area	0
2024-00007960	7	13	2	191	W	64	Reckless Driving	0
2024-00007958	7	13	3	191	NE	8	Welfare Check	0
2024-00001956	7	13	1	7	SE	32	Diabetic Problems	1
2024-00002473	7	13	1	7	SE	32	Diabetic Problems	1
2024-00007967	7	13	0	191	E	9	Larceny	0
2024-00007959	7	13	0	66	NW	1	Traffic Stop	0
2024-00007963	7	13	1	191	N	6	Suspicious	0
2024-00007961	7	13	1	66	N	1	Traffic Stop	0
2024-00007962	7	13	1	191	NW	1	Traffic Stop	0
2024-00002474	7	13	1	1	N	2	Transfer/Interfacility	1
2024-00007964	7	13	1	191	SW	1	Traffic Stop	0
2024-00007966	7	13	1	191	SW	7	Alarm	0
2024-00007965	7	13	3	21	NE	14	Follow Up	0
2024-00007969	7	14	1	191	SE	27	Animal at Large	0
2024-00007968	7	14	1	191	NE	5	Contact a Subject	0
2024-00007970	7	14	0	191	E	64	Road Rage	0
2024-00007971	7	14	3	191	N	1	Traffic Stop	0
2024-00007972	7	14	1	191	S	27	Animal at Large	0
2024-00007973	7	14	1	191	NW	1	Traffic Stop	0
2024-00007975	7	14	1	191	E	51	Civil Standby	0
2024-00007974	7	14	1	191	SE	48	Found Item	0
2024-00007976	7	14	1	191	N	1	Traffic Stop	0
2024-00001957	7	14	3	191	NW	25	Fire Alarm	0
2024-00007977	7	14	1	191	SE	5	Contact a Subject	0
2024-00007978	7	14	3	191	N	1	Traffic Stop	0
2024-00007980	7	14	0	191	E	51	Item Assignment	0
2024-00007979	7	14	1	191	SE	1	Traffic Stop	0
2024-00002475	7	14	1	5	N	2	Transfer/Interfacility	1
2024-00007981	7	14	3	191	N	1	Traffic Stop	0
2024-00007982	7	14	0	191	E	1	Traffic Stop	0
2024-00007983	7	14	1	66	W	42	Vandalism	0
2024-00007984	7	14	0	191	E	1	Traffic Stop	0
2024-00001958	7	14	1	66	S	11	Breathing Problems	1
2024-00002476	7	14	1	66	S	11	Breathing Problems	1
2024-00007988	7	14	1	191	NE	5	Contact a Subject	0
2024-00007996	7	14	1	191	S	9	Larceny	0
2024-00007985	7	14	1	191	S	5	Contact a Subject	0
2024-00008001	7	14	1	191	E	9	Larceny	0
2024-00007986	7	14	3	191	E	5	Contact a Subject	0
2024-00007987	7	14	0	191	E	1	Traffic Stop	0
2024-00007989	7	15	0	191	E	1	Traffic Stop	0
2024-00007990	7	15	3	15	N	9	Larceny	0
2024-00007992	7	15	1	21	S	4	Disturbance/Domestic	0
2024-00007991	7	15	0	191	E	1	Traffic Stop	0
2024-00007997	7	15	0	191	E	13	Check Area	0
2024-00002477	7	15	1	15	NW	3	Sick Person	1
2024-00007993	7	15	3	66	N	8	Welfare Check	0
2024-00007994	7	15	53	191	SE	13	Check Area	0
2024-00001959	7	15	1	6	SE	19	Unconscious/Fainting	1
2024-00002478	7	15	1	6	SE	32	Diabetic Problems	1
2024-00007995	7	15	0	191	E	1	Traffic Stop	0
2024-00002479	7	15	1	11	N	10	Falls	1
2024-00007998	7	15	0	191	E	1	Traffic Stop	0
2024-00001960	7	15	1	34	W	3	Sick Person	1
2024-00002480	7	15	1	34	W	3	Sick Person	1
2024-00007999	7	15	1	191	SW	51	Animal Vicious	0
2024-00008000	7	15	0	191	E	1	Traffic Stop	0
2024-00002481	7	15	1	1	N	2	Transfer/Interfacility	1
2024-00008006	7	15	3	34	NE	32	Burglary	0
2024-00002482	7	15	1	1	N	2	Transfer/Interfacility	1
2024-00008002	7	15	1	1	N	45	Escort/Transport	1
2024-00008003	7	16	1	191	NW	1	Traffic Stop	0
2024-00008005	7	16	1	191	NW	19	911 Call Nature Unknown	0
2024-00008004	7	16	1	191	N	1	Traffic Stop	0
2024-00002483	7	16	0	191	W	64	Stand By EMS	1
2024-00008007	7	16	1	21	NE	5	Contact a Subject	0
2024-00008008	7	16	1	34	E	1	Traffic Stop	0
2024-00008009	7	16	1	191	NW	1	Traffic Stop	0
2024-00008010	7	16	1	66	NE	42	Vandalism	0
2024-00001961	7	16	1	66	NE	45	Fire Residential	1
2024-00002484	7	16	1	66	NE	45	Fire Residential	1
2024-00008011	7	16	0	191	E	1	Traffic Stop	0
2024-00008012	7	16	1	191	W	1	Traffic Stop	0
2024-00008013	7	16	0	191	NE	1	Traffic Stop	0
2024-00008014	7	16	1	191	S	1	Traffic Stop	0
2024-00008017	7	16	1	191	SW	42	Animal Trapped	0
2024-00008015	7	16	1	191	W	7	Alarm	0
2024-00002485	7	17	2	2	NW	2	Transfer/Interfacility	1
2024-00008016	7	17	0	191	SE	1	Traffic Stop	0
2024-00008018	7	17	3	191	SW	7	Alarm	0
2024-00008019	7	17	3	191	W	1	Traffic Stop	0
2024-00002486	7	17	3	3	SE	2	Transfer/Interfacility	1
2024-00001962	7	17	2	191	N	25	Fire Alarm	0
2024-00008021	7	17	0	191	NE	1	Traffic Stop	0
2024-00008022	7	17	1	191	NE	1	Traffic Stop	0
2024-00008032	7	17	3	66	SW	16	Parking Problem	0
2024-00008034	7	17	3	66	SW	16	Parking Problem	0
2024-00008023	7	17	1	191	NW	1	Traffic Stop	0
2024-00008028	7	17	2	191	W	9	Larceny	0
2024-00008024	7	17	2	191	N	1	Traffic Stop	0
2024-00008025	7	17	2	66	NW	1	Traffic Stop	0
2024-00008026	7	17	2	34	NW	51	Pick Up Partner	0
2024-00008027	7	17	3	15	N	9	Larceny	0
2024-00008041	7	17	3	15	N	11	Trespassing	0
2024-00008029	7	17	3	191	N	15	MVA Non Injury	0
2024-00001963	7	17	3	34	N	3	Sick Person	1
2024-00002487	7	17	3	34	N	3	Sick Person	1
2024-00008030	7	17	3	34	N	8	Welfare Check	1
2024-00008031	7	18	1	11	NE	38	Runaway or Lost Child	0
2024-00008043	7	18	0	191	E	13	Check Area	0
2024-00002489	7	18	3	1	N	2	Transfer/Interfacility	1
2024-00008033	7	18	2	66	SE	4	Disturbance/Domestic	0
2024-00002488	7	18	2	3	SE	2	Transfer/Interfacility	1
2024-00008037	7	18	3	191	N	32	Supplement Report	0
2024-00008035	7	18	2	191	SE	19	911 Call Nature Unknown	0
2024-00008036	7	18	1	11	NE	38	Runaway or Lost Child	0
2024-00002490	7	18	0	21	SW	19	Unconscious/Fainting	1
2024-00008038	7	18	0	21	W	6	Suspicious	0
2024-00008039	7	18	2	191	S	1	Traffic Stop	0
2024-00008040	7	19	0	191	NE	1	Traffic Stop	0
2024-00001964	7	19	51	34	SE	19	Cardiac Respritory Arrest	1
2024-00002491	7	19	51	34	SE	32	Convulsion/Seizure	1
2024-00008042	7	19	51	34	SE	51	Body Reported	1
2024-00008050	7	19	51	191	SW	7	Alarm	0
2024-00008044	7	19	51	191	NW	1	Traffic Stop	0
2024-00002492	7	19	0	21	SW	19	Allergies/Envenomations	1
2024-00008077	7	19	51	191	N	38	Noise Complaint	0
2024-00001965	7	19	51	66	W	73	Burns/Explosions	1
2024-00002493	7	19	51	66	W	73	Burns/Explosions	1
2024-00008046	7	19	51	191	N	19	911 Call Nature Unknown	0
2024-00008047	7	19	0	191	NE	11	Trespassing	0
2024-00008048	7	19	2	191	NE	8	Welfare Check	0
2024-00001966	7	19	1	6	SE	11	Breathing Problems	1
2024-00002494	7	19	1	6	SE	11	Breathing Problems	1
2024-00008049	7	19	0	191	NE	4	Disturbance/Domestic	0
2024-00002495	7	19	51	1	N	2	Transfer/Interfacility	1
2024-00001967	7	20	2	191	S	25	Fire Alarm	0
2024-00008053	7	20	2	191	SW	16	Parking Problem	0
2024-00008051	7	20	0	191	E	1	Traffic Stop	0
2024-00002500	7	20	51	2	NW	2	Transfer/Interfacility	1
2024-00002496	7	20	0	21	SW	27	Assault EMS Needed	1
2024-00001968	7	20	0	21	W	11	Breathing Problems	1
2024-00002497	7	20	0	21	W	11	Breathing Problems	1
2024-00008052	7	20	0	21	W	8	Welfare Check	1
2024-00008054	7	20	0	11	NE	38	Runaway or Lost Child	0
2024-00008056	7	20	2	66	SW	73	Extra Patrol	0
2024-00008055	7	20	0	191	NE	7	Alarm	0
2024-00001969	7	20	55	66	E	3	Sick Person	1
2024-00002498	7	20	55	66	E	3	Sick Person	1
2024-00008057	7	20	0	21	NE	64	Shots Heard	0
2024-00008060	7	20	2	191	SE	4	Disturbance/Domestic	0
2024-00008058	7	20	1	191	N	1	Traffic Stop	0
2024-00008069	7	20	51	1	N	45	Escort/Transport	0
2024-00008059	7	20	3	191	NE	1	Traffic Stop	0
2024-00008065	7	20	2	191	SW	6	Suspicious	0
2024-00008061	7	20	0	66	NE	17	Harassment / Threats Report	0
2024-00001970	7	20	2	66	S	3	Sick Person	1
2024-00002499	7	20	2	66	S	3	Sick Person	1
2024-00008066	7	20	51	191	NE	6	Suspicious	0
2024-00008062	7	20	0	191	E	1	Traffic Stop	0
2024-00008063	7	20	0	4	NE	4	Disturbance/Domestic	0
2024-00008064	7	21	3	191	SW	4	Disturbance/Domestic	0
2024-00002501	7	21	2	2	NW	2	Transfer/Interfacility	1
2024-00008067	7	21	0	11	NE	38	Runaway or Lost Child	0
2024-00001971	7	21	3	66	E	32	Diabetic Problems	1
2024-00002502	7	21	3	66	E	32	Diabetic Problems	1
2024-00001972	7	21	0	191	E	25	Fire Alarm	0
2024-00001973	7	21	0	66	E	3	Sick Person	1
2024-00002503	7	21	0	66	E	3	Sick Person	1
2024-00002504	7	21	2	191	N	32	Convulsion/Seizure	1
2024-00008079	7	21	3	191	NW	9	Larceny	0
2024-00008068	7	21	2	191	NW	1	Traffic Stop	0
2024-00008070	7	21	3	191	NE	48	Drunk Driver	0
2024-00008071	7	21	3	21	W	4	Disturbance/Domestic	0
2024-00002506	7	21	3	3	SE	2	Transfer/Interfacility	1
2024-00002505	7	21	3	3	SE	2	Transfer/Interfacility	1
2024-00008078	7	21	3	15	S	27	Fraud	0
2024-00008072	7	21	2	191	NW	1	Traffic Stop	0
2024-00008073	7	21	0	66	S	4	Disturbance/Domestic	0
2024-00008074	7	21	51	191	N	38	Mutual Aid	0
2024-00008080	7	21	2	2	NW	5	Contact a Subject	0
2024-00008081	7	21	51	191	E	38	Noise Complaint	0
2024-00002511	7	21	3	3	SE	2	Transfer/Interfacility	1
2024-00008075	7	21	1	21	NE	38	Noise Complaint	0
2024-00008076	7	21	51	66	E	1	Traffic Stop	0
2024-00001974	7	22	0	191	E	51	Fire Odor Investigation	0
2024-00008082	7	22	0	66	S	6	Suspicious	0
2024-00008083	7	22	2	191	S	5	Contact a Subject	0
2024-00008084	7	22	0	191	SE	82	Loud Party	0
2024-00008085	7	22	51	191	W	38	Runaway or Lost Child	0
2024-00008086	7	22	73	191	W	1	Traffic Stop	0
2024-00008087	7	22	51	191	NW	4	Disturbance/Domestic	0
2024-00008090	7	22	51	191	W	4	Disturbance/Domestic	0
2024-00001975	7	22	51	191	NW	73	Fire Carbon Monoxide Alarm	0
2024-00008088	7	22	51	191	NE	1	Traffic Stop	0
2024-00008089	7	22	0	191	N	1	Traffic Stop	0
2024-00008092	7	23	2	191	NW	7	Alarm	0
2024-00008091	7	23	2	191	N	4	Disturbance/Domestic	0
2024-00008094	7	23	2	191	NE	6	Suspicious	0
2024-00001976	7	23	3	66	SW	10	Falls	1
2024-00002507	7	23	3	66	SW	10	Falls	1
2024-00008093	7	23	0	66	NE	1	Traffic Stop	0
2024-00001977	7	23	3	6	SE	3	Sick Person	1
2024-00002508	7	23	3	6	SE	3	Sick Person	1
2024-00008095	7	23	0	21	NE	5	Contact a Subject	0
2024-00001978	7	23	0	66	NE	10	Falls	1
2024-00002509	7	23	0	66	NE	10	Falls	1
2024-00001979	7	23	1	191	NE	51	Fire Odor Investigation	0
2024-00002639	3	0	0	1	N	2	Transfer/Interfacility	1
2024-00008607	3	0	0	191	S	1	Traffic Stop	0
2024-00008608	3	0	0	191	NW	1	Traffic Stop	0
2024-00008609	3	0	0	191	NW	1	Traffic Stop	0
2024-00002073	3	0	0	15	W	3	Sick Person	1
2024-00002640	3	0	0	15	W	3	Sick Person	1
